date,regime_label,regime_probability
2014-10-03,Transitional,1.0
2014-10-06,Transitional,0.9986798624833432
2014-10-07,Transitional,0.9995329916321998
2014-10-08,Transitional,0.9996391972687589
2014-10-09,Transitional,0.9996139530798466
2014-10-10,Transitional,0.9936876385142251
2014-10-13,Transitional,0.9826534815467588
2014-10-14,Transitional,0.8935678412735591
2014-10-15,Transitional,0.8557646250735067
2014-10-16,Transitional,0.8187242723818938
2014-10-17,Transitional,0.8059589577489672
2014-10-20,Transitional,0.7847069938488714
2014-10-21,Transitional,0.7709761990221324
2014-10-22,Transitional,0.6125392233772465
2014-10-23,Transitional,0.5256938337348087
2014-10-24,Stable,0.7048708910462199
2014-10-27,Stable,0.8100524045653903
2014-10-28,Stable,0.8594141726833752
2014-10-29,Stable,0.9200584927398751
2014-10-30,Stable,0.948400703598359
2014-10-31,Stable,0.9634659035130828
2014-11-03,Stable,0.9821936201803025
2014-11-04,Stable,0.9905409540052444
2014-11-05,Stable,0.9949055393195307
2014-11-06,Stable,0.9972653708523369
2014-11-07,Stable,0.9983800880674047
2014-11-10,Stable,0.9988691859247686
2014-11-11,Stable,0.9990965583573379
2014-11-12,Stable,0.9991822219251844
2014-11-13,Stable,0.9992341907932768
2014-11-14,Stable,0.99924236820205
2014-11-17,Stable,0.9992195074685986
2014-11-18,Stable,0.9991387523553276
2014-11-19,Stable,0.9991176360301584
2014-11-20,Stable,0.9990757973934724
2014-11-21,Stable,0.9988799559444956
2014-11-24,Stable,0.9986151176786916
2014-11-25,Stable,0.997928466271175
2014-11-26,Stable,0.9964683384856383
2014-11-28,Stable,0.9931608067455305
2014-12-01,Stable,0.9867720756174294
2014-12-02,Stable,0.9796012188696593
2014-12-03,Stable,0.9663798794289479
2014-12-04,Stable,0.9373831392142402
2014-12-05,Stable,0.8751497362339797
2014-12-08,Stable,0.7337462765609486
2014-12-09,Stable,0.5713356926443501
2014-12-10,Transitional,0.7883202584194919
2014-12-11,Transitional,0.8347983840208131
2014-12-12,Transitional,0.9332295410232497
2014-12-15,Transitional,0.9452581588171316
2014-12-16,Transitional,0.96281793364624
2014-12-17,Transitional,0.9799204284662523
2014-12-18,Transitional,0.9761027802310521
2014-12-19,Transitional,0.7294238591170972
2014-12-22,Transitional,0.6111946615156038
2014-12-23,Transitional,0.5580422439316143
2014-12-24,Transitional,0.5386398839432357
2014-12-26,Transitional,0.5387879860539833
2014-12-29,Transitional,0.5582523143783019
2014-12-30,Transitional,0.6114371759556397
2014-12-31,Transitional,0.6980391114966342
2015-01-02,Transitional,0.7541794027760347
2015-01-05,Transitional,0.8813540350787606
2015-01-06,Transitional,0.8849196831888835
2015-01-07,Transitional,0.8870099647671857
2015-01-08,Transitional,0.8879950315722278
2015-01-09,Transitional,0.8572269786920869
2015-01-12,Transitional,0.8253186252908327
2015-01-13,Transitional,0.7941354944203294
2015-01-14,Transitional,0.7821907205957704
2015-01-15,Transitional,0.7777728400912499
