date,regime_label,regime_probability
2014-10-07,Transitional,1.0
2014-10-08,Transitional,0.9862314430918522
2014-10-09,Transitional,0.9756030842697988
2014-10-10,Transitional,0.9492266126287827
2014-10-13,Transitional,0.9066452490582527
2014-10-14,Transitional,0.8744749820770266
2014-10-15,Transitional,0.8592501654927786
2014-10-16,Transitional,0.8542011579219041
2014-10-17,Transitional,0.8494092403323017
2014-10-20,Transitional,0.8121003118366458
2014-10-21,Transitional,0.751878569320633
2014-10-22,Stable,0.5004294804212231
2014-10-27,Stable,0.6557084343257218
2014-10-28,Stable,0.7404663922952632
2014-10-29,Stable,0.8378764280635947
2014-10-30,Stable,0.8897266181798406
2014-10-31,Stable,0.9181003235162063
2014-11-03,Stable,0.9345789542508707
2014-11-05,Stable,0.9461669817268559
2014-11-07,Stable,0.9576657592616862
2014-11-10,Stable,0.9638088729004993
2014-11-11,Stable,0.9680234358015233
2014-11-12,Stable,0.9701493591336461
2014-11-13,Stable,0.9714450109353943
2014-11-14,Stable,0.970901472290735
2014-11-17,Stable,0.9662699515105339
2014-11-18,Stable,0.9599899280716281
2014-11-19,Stable,0.9468872431846166
2014-11-20,Stable,0.9211265567725037
2014-11-21,Stable,0.8720542174541059
2014-11-24,Stable,0.8557557242935934
2014-11-25,Stable,0.8554708093988365
2014-11-26,Stable,0.8648560585168686
2014-11-27,Stable,0.8760927484749459
2014-11-28,Stable,0.8794870616934848
2014-12-01,Stable,0.8858934622083243
2014-12-02,Stable,0.8839508012054077
2014-12-03,Stable,0.8745706521131115
2014-12-04,Stable,0.861806798538391
2014-12-05,Stable,0.8395845723782343
2014-12-08,Stable,0.8016854484991076
2014-12-09,Stable,0.7712597208656302
2014-12-10,Stable,0.7272220402188473
2014-12-11,Stable,0.6454147772730908
2014-12-12,Stable,0.543005383728044
2014-12-15,Stable,0.6271329434566308
2014-12-16,Transitional,0.9335969182743218
2014-12-17,Transitional,0.9522428003563127
2014-12-18,Transitional,0.9558039157828069
2014-12-19,Transitional,0.9574033179078125
2014-12-22,Transitional,0.9233450546017145
