date,regime_label,regime_probability
2014-10-07,Stable,0.9999999999990905
2014-10-08,Stable,0.9600598634884192
2014-10-09,Stable,0.8952410442496189
2014-10-10,Stable,0.918079588007927
2014-10-13,Stable,0.9516640565462965
2014-10-14,Stable,0.9572960493494518
2014-10-15,Stable,0.9450285614837021
2014-10-16,Stable,0.8922786366034615
2014-10-17,Stable,0.7717256369279429
2014-10-20,Transitional,0.6278257372399735
2014-10-21,Transitional,0.8418225392526646
2014-10-22,Transitional,0.9063114003991386
2014-10-27,Stable,0.5543381629476063
2014-10-28,Stable,0.6621526050897566
2014-10-29,Stable,0.5973972938915242
2014-10-30,Stable,0.5470843193499764
2014-10-31,Stable,0.6506358471373954
2014-11-03,Stable,0.6464977407166638
2014-11-05,Stable,0.8692927424497895
2014-11-07,Stable,0.9372747488734245
2014-11-10,Stable,0.9539246326768686
2014-11-11,Stable,0.9576477575770977
2014-11-12,Stable,0.9549502302744939
2014-11-13,Stable,0.9581954142979033
2014-11-14,Stable,0.9673653003655657
2014-11-17,Stable,0.9679024786584317
2014-11-18,Stable,0.9647714680808605
2014-11-19,Stable,0.9655618632378986
2014-11-20,Stable,0.9663698991969684
2014-11-21,Stable,0.958493819879923
2014-11-24,Stable,0.9420980089431488
2014-11-25,Stable,0.880168661515858
2014-11-26,Stable,0.904461714099459
2014-11-27,Stable,0.8557975874283633
2014-11-28,Stable,0.6915374202843023
2014-12-01,Stable,0.8130033010480878
2014-12-02,Stable,0.8941475882149106
2014-12-03,Stable,0.9284194318046174
2014-12-04,Stable,0.9543005914409887
2014-12-05,Stable,0.9615725475096567
2014-12-08,Stable,0.9529868373278537
2014-12-09,Stable,0.942965920316323
2014-12-10,Stable,0.9532597266205165
2014-12-11,Stable,0.9418674588654233
2014-12-12,Stable,0.9006812602665316
2014-12-15,Stable,0.843502003899326
2014-12-16,Stable,0.62969603579287
2014-12-17,Stable,0.5711285180075069
2014-12-18,Transitional,0.9065264146567822
2014-12-19,Stable,0.6247337949859628
2014-12-22,Stable,0.8196293020673521
2014-12-23,Stable,0.9157931944707077
2014-12-24,Stable,0.937235694493019
2014-12-26,Stable,0.9496391917080041
2014-12-29,Stable,0.9621175789982985
2014-12-30,Stable,0.9650892441336326
2014-12-31,Stable,0.9563341931214543
2015-01-01,Stable,0.9317648037337116
2015-01-02,Stable,0.8528287273559166
2015-01-05,Stable,0.6317447668985181
2015-01-06,Stable,0.7448769447780552
2015-01-07,Stable,0.8380160153016788
2015-01-08,Stable,0.8990433061040989
2015-01-09,Stable,0.9380340983354766
2015-01-12,Stable,0.9340773957970341
2015-01-13,Stable,0.8803743325942687
2015-01-14,Stable,0.6968212682115783
2015-01-15,Stable,0.5680234106277655
2015-01-16,Stable,0.7966282710059903
2015-01-19,Stable,0.9097203221705226
2015-01-20,Stable,0.9404560841336175
2015-01-21,Stable,0.9413535088457786
2015-01-22,Stable,0.929375427107726
2015-01-23,Stable,0.9069758674521985
2015-01-27,Stable,0.8040984118233683
2015-01-28,Stable,0.877783697029105
2015-01-29,Stable,0.9105842111399516
2015-01-30,Stable,0.9175612089926943
2015-02-02,Stable,0.9157838990587245
2015-02-03,Stable,0.866414665781572
2015-02-04,Stable,0.8597174762439299
2015-02-05,Stable,0.8503430221636575
2015-02-06,Stable,0.7788666988854166
2015-02-09,Stable,0.5222891119283932
