date,regime_label,regime_probability
2014-10-07,Transitional,1.0
2014-10-08,Transitional,0.9938073048722251
2014-10-09,Transitional,0.6613845907128073
2014-10-10,Transitional,0.6636973733011765
2014-10-13,Transitional,0.5058217721377102
2014-10-14,Transitional,0.5132950518316026
2014-10-16,Transitional,0.7314211844338222
2014-10-17,Transitional,0.9842227311247483
2014-10-20,Stable,0.6231550271012534
2014-10-21,Stable,0.8566500634999934
2014-10-22,Stable,0.9178741664744798
2014-10-27,Stable,0.9301088053780405
2014-10-28,Stable,0.9074661495860032
2014-10-29,Stable,0.7933596538629416
2014-10-30,Stable,0.7125562499754995
2014-10-31,Stable,0.7447184327060147
2014-11-03,Stable,0.9002961725959255
2014-11-05,Stable,0.942797991454741
2014-11-07,Stable,0.9615555172914415
2014-11-10,Stable,0.9669469821725994
2014-11-11,Stable,0.966666456394569
2014-11-12,Stable,0.9649315124166726
2014-11-13,Stable,0.9561633863775738
2014-11-14,Stable,0.9643309331731441
2014-11-17,Stable,0.9633508524528328
2014-11-18,Stable,0.9522446877588013
2014-11-19,Stable,0.9520301414246707
2014-11-20,Stable,0.9228209616076383
2014-11-21,Stable,0.9168847051550459
2014-11-24,Stable,0.8784702651640116
2014-11-25,Stable,0.9391674416607443
2014-11-26,Stable,0.9538842705711241
2014-11-27,Stable,0.9462262099196418
2014-11-28,Stable,0.9530553425702489
2014-12-01,Stable,0.9337274265004176
2014-12-02,Stable,0.8793811023171723
2014-12-03,Stable,0.8736686717811085
2014-12-04,Stable,0.7510066967708516
2014-12-05,Transitional,0.6240630626104551
2014-12-08,Transitional,0.8609139167570946
2014-12-09,Stable,0.6745994336536769
2014-12-10,Stable,0.8351731718431722
2014-12-11,Stable,0.8513310211321281
2014-12-12,Stable,0.8563727529816189
2014-12-15,Stable,0.7656764278667751
2014-12-16,Stable,0.8227820758339659
2014-12-17,Stable,0.8969800858125642
2014-12-18,Stable,0.890683788031498
2014-12-19,Stable,0.8692513603616852
2014-12-22,Stable,0.9198937640706004
2014-12-23,Stable,0.9054036265596056
2014-12-24,Stable,0.8804833146905267
2014-12-26,Stable,0.9239882738085726
2014-12-29,Stable,0.9498946376544088
2014-12-30,Stable,0.9571138014471102
2014-12-31,Stable,0.9476705483113035
2015-01-01,Stable,0.9153709552906858
2015-01-02,Stable,0.7946338205679773
2015-01-05,Stable,0.6390006435893372
2015-01-06,Transitional,0.653680117322353
2015-01-07,Transitional,0.5126333432317691
2015-01-08,Transitional,0.5627515553191517
2015-01-09,Transitional,0.8988098576982091
2015-01-12,Stable,0.573511817761199
2015-01-13,Stable,0.8318580779206716
2015-01-14,Stable,0.9092206310123693
2015-01-15,Stable,0.9497517402065018
2015-01-16,Stable,0.9633869297534847
2015-01-19,Stable,0.9661308163701987
2015-01-20,Stable,0.9634850815637825
2015-01-21,Stable,0.9541682540166362
2015-01-22,Stable,0.9581797730709132
2015-01-23,Stable,0.9447046328862719
2015-01-27,Stable,0.8911227430323094
2015-01-28,Stable,0.9304762738378486
2015-01-29,Stable,0.9573134642888583
2015-01-30,Stable,0.9621774762916805
2015-02-02,Stable,0.9536015079133896
2015-02-03,Stable,0.9572602151041931
2015-02-04,Stable,0.9400683029262982
2015-02-05,Stable,0.8786835127890759
2015-02-06,Stable,0.9297828258289503
2015-02-09,Stable,0.9533658482429316
2015-02-10,Stable,0.9529898171473933
2015-02-11,Stable,0.9555457696988874
2015-02-12,Stable,0.9496470701059372
2015-02-13,Stable,0.9558988889030616
2015-02-16,Stable,0.9589233765514853
2015-02-18,Stable,0.9435649282167616
2015-02-19,Stable,0.9460925644722208
2015-02-20,Stable,0.9325272810465057
2015-02-23,Stable,0.9546872852352655
2015-02-24,Stable,0.9597038382468536
2015-02-25,Stable,0.9487975589344947
2015-02-26,Stable,0.9129359112688173
2015-02-27,Stable,0.9324185295296236
2015-03-02,Stable,0.9256549128315886
2015-03-03,Stable,0.8928663195837241
2015-03-04,Stable,0.8996481122045233
2015-03-05,Stable,0.8954074272491968
2015-03-09,Stable,0.823520057890305
2015-03-10,Stable,0.9224875866763779
2015-03-11,Stable,0.9486766985233913
2015-03-12,Stable,0.954668508269794
2015-03-13,Stable,0.9470623727084332
2015-03-16,Stable,0.9525094070787861
2015-03-17,Stable,0.9584504187311877
2015-03-18,Stable,0.9517780891144767
2015-03-19,Stable,0.9593451984204078
2015-03-20,Stable,0.9494542598507544
2015-03-23,Stable,0.9260656340618362
2015-03-24,Stable,0.9054687413002621
2015-03-25,Stable,0.8227049590207306
2015-03-26,Stable,0.5279754574391123
2015-03-27,Stable,0.8074599645572194
2015-03-30,Stable,0.8877009663993113
2015-03-31,Stable,0.934017190574139
2015-04-01,Stable,0.9317403848411443
2015-04-06,Stable,0.9508843224504725
2015-04-07,Stable,0.9405426508284046
2015-04-08,Stable,0.8834378712033282
2015-04-09,Stable,0.934786608083431
2015-04-10,Stable,0.9442149898964685
2015-04-13,Stable,0.9153158933947302
2015-04-15,Stable,0.8034268881288226
2015-04-16,Stable,0.7303119970046338
2015-04-17,Stable,0.5021239928081108
2015-04-20,Stable,0.525259626574664
2015-04-21,Stable,0.7754771638304441
2015-04-22,Stable,0.8122377618461324
2015-04-23,Stable,0.7371927950045901
2015-04-24,Stable,0.579109292428061
2015-04-27,Stable,0.7857859673305072
2015-04-28,Stable,0.896231635105873
2015-04-29,Stable,0.9224278600539589
2015-04-30,Stable,0.8908484038976212
2015-05-04,Stable,0.8199293382309978
2015-05-05,Stable,0.8150690607781521
2015-05-06,Stable,0.6527027892224994
2015-05-07,Stable,0.7217994476238696
2015-05-08,Stable,0.8381643442889639
2015-05-11,Stable,0.8229232088647833
2015-05-12,Stable,0.7941086172922126
2015-05-13,Stable,0.9066592816827512
2015-05-14,Stable,0.9348394180053184
2015-05-15,Stable,0.9458350267017057
2015-05-18,Stable,0.9396487500277566
2015-05-19,Stable,0.9289130094488662
2015-05-20,Stable,0.8905805813192409
2015-05-21,Stable,0.9355585767177599
2015-05-22,Stable,0.935688192144678
2015-05-25,Stable,0.9264467104823076
2015-05-26,Stable,0.9137607650791242
2015-05-27,Stable,0.8358685535490457
2015-05-28,Stable,0.9072352114194904
2015-05-29,Stable,0.9217823285933266
