date,regime_label,regime_probability
2014-10-07,Transitional,1.0
2014-10-08,Transitional,0.9977638435372063
2014-10-09,Stable,0.7217310986300713
2014-10-10,Stable,0.5123288875628345
2014-10-13,Stable,0.5801527485029059
2014-10-14,Stable,0.7146992457967997
2014-10-16,Stable,0.7719624364769352
2014-10-17,Stable,0.8291348546209604
2014-10-20,Stable,0.8569582076313483
2014-10-21,Stable,0.8838396561413876
2014-10-22,Stable,0.8875884010346877
2014-10-27,Stable,0.9077698983162822
2014-10-28,Stable,0.9121828456397005
2014-10-29,Stable,0.9197714683246814
2014-10-30,Stable,0.9100565017381282
2014-10-31,Stable,0.8749443241801812
2014-11-03,Stable,0.8772890502900028
2014-11-05,Stable,0.8530205981061321
2014-11-07,Stable,0.8277138225081919
2014-11-10,Stable,0.8976067207063402
2014-11-11,Stable,0.9340086367509213
2014-11-12,Stable,0.9476474271658849
2014-11-13,Stable,0.9573319251288489
2014-11-14,Stable,0.9559212705110262
2014-11-17,Stable,0.9713720080096414
2014-11-18,Stable,0.9773235404278653
2014-11-19,Stable,0.982885062748573
2014-11-20,Stable,0.9841290984097811
2014-11-21,Stable,0.9871809964539089
2014-11-24,Stable,0.9884569381660266
2014-11-25,Stable,0.9899804208568599
2014-11-26,Stable,0.9903676598632598
2014-11-27,Stable,0.9903939659405931
2014-11-28,Stable,0.9906172522893085
2014-12-01,Stable,0.9898247179313828
2014-12-02,Stable,0.9876525506074504
2014-12-03,Stable,0.9844116343258668
2014-12-04,Stable,0.9768904293810499
2014-12-05,Stable,0.9614875950321712
2014-12-08,Stable,0.9640453057913815
2014-12-09,Stable,0.9584784188882003
2014-12-10,Stable,0.9416664056197711
2014-12-11,Stable,0.9021800922702633
2014-12-12,Stable,0.8166405266609377
2014-12-15,Stable,0.6353245296864021
2014-12-16,Stable,0.6774005191697837
2014-12-17,Stable,0.6239281697503468
2014-12-18,Stable,0.5992895455174256
2014-12-19,Stable,0.7738135161710167
2014-12-22,Stable,0.8548188627653842
2014-12-23,Stable,0.9024310142290941
2014-12-24,Stable,0.9197387377445781
2014-12-26,Stable,0.9486165512741558
2014-12-29,Stable,0.95957701142202
2014-12-30,Stable,0.963807093704357
2014-12-31,Stable,0.957999319112719
2015-01-01,Stable,0.9440279743650576
2015-01-02,Stable,0.9124324057381551
2015-01-05,Stable,0.8432544617674953
2015-01-06,Stable,0.7102308134129757
2015-01-07,Stable,0.7855316220448291
2015-01-08,Stable,0.8172113622021793
2015-01-09,Stable,0.8423063157220415
2015-01-12,Stable,0.906250554031865
2015-01-13,Stable,0.9349316666611653
2015-01-14,Stable,0.9434692813201758
2015-01-15,Stable,0.952775627611574
2015-01-16,Stable,0.950336326414456
2015-01-19,Stable,0.9576734797017277
2015-01-20,Stable,0.9694502186429538
2015-01-21,Stable,0.9720398359919776
2015-01-22,Stable,0.9665344337017155
2015-01-23,Stable,0.9755168136156834
2015-01-27,Stable,0.9789308829574551
2015-01-28,Stable,0.9765283272370622
2015-01-29,Stable,0.9671629379135844
2015-01-30,Stable,0.9674771684374436
2015-02-02,Stable,0.9627805314991703
2015-02-03,Stable,0.9526647442181639
2015-02-04,Stable,0.9436727081296638
2015-02-05,Stable,0.9264019004099455
2015-02-06,Stable,0.9063721407527393
2015-02-09,Stable,0.9255502471726232
2015-02-10,Stable,0.9282685279139067
2015-02-11,Stable,0.9130856644843639
2015-02-12,Stable,0.8857090587343182
2015-02-13,Stable,0.8860194693524774
2015-02-16,Stable,0.9037785167835231
2015-02-18,Stable,0.919118213711723
2015-02-19,Stable,0.9165926324449301
2015-02-20,Stable,0.8931266469938535
2015-02-23,Stable,0.8343281893341101
2015-02-24,Stable,0.7607232572633177
2015-02-25,Stable,0.598476629118606
2015-02-26,Stable,0.5669631115519137
2015-02-27,Stable,0.7522961025017413
2015-03-02,Transitional,0.9868921202905729
2015-03-03,Transitional,0.9077883034184533
2015-03-04,Transitional,0.8560016388475317
2015-03-05,Transitional,0.8191197759372293
2015-03-09,Transitional,0.5786017212567051
2015-03-10,Transitional,0.5307957092147703
2015-03-11,Transitional,0.5778415302190163
2015-03-12,Transitional,0.6086410681903289
2015-03-13,Transitional,0.6228165345479406
2015-03-16,Transitional,0.6608318575162415
2015-03-17,Transitional,0.6545703365060944
2015-03-18,Transitional,0.6894448858195251
2015-03-19,Transitional,0.680788478825546
2015-03-20,Transitional,0.6286881625252863
2015-03-23,Transitional,0.601581200359484
2015-03-24,Transitional,0.5138109311610148
2015-03-25,Transitional,0.5281967269282234
2015-03-26,Transitional,0.6381767913475358
2015-03-27,Transitional,0.6556775006109758
2015-03-30,Transitional,0.7055078585278267
2015-03-31,Transitional,0.8039386286075036
2015-04-01,Transitional,0.950638205921352
2015-04-06,Transitional,0.9926335548600718
2015-04-07,Transitional,0.9520263494743609
2015-04-08,Transitional,0.9428119491561365
2015-04-09,Transitional,0.9623824021855292
2015-04-10,Transitional,0.9515539388705202
2015-04-13,Transitional,0.966730853022717
2015-04-15,Transitional,0.9844660382994475
2015-04-16,Transitional,0.9925957754173927
2015-04-17,Transitional,0.9986371587457002
2015-04-20,Transitional,0.9910148026429495
2015-04-21,Transitional,0.9985838887299471
2015-04-22,Transitional,0.9634012940627605
2015-04-23,Transitional,0.9453176231122634
2015-04-24,Transitional,0.9359136437675901
2015-04-27,Transitional,0.9480943759325519
2015-04-28,Transitional,0.8699254187688521
2015-04-29,Transitional,0.8413789928767896
2015-04-30,Transitional,0.8528834099392812
2015-05-04,Transitional,0.9138403663777546
2015-05-05,Transitional,0.9197677664596822
2015-05-06,Transitional,0.9629145531824472
2015-05-07,Transitional,0.891071490042845
2015-05-08,Transitional,0.8014326002616211
2015-05-11,Transitional,0.6221799352176052
2015-05-12,Stable,0.6457841266975055
2015-05-13,Stable,0.802439275383869
2015-05-14,Stable,0.8747153829441212
2015-05-15,Stable,0.9072871955702158
2015-05-18,Stable,0.9163984067214325
2015-05-19,Stable,0.9377938688656129
2015-05-20,Stable,0.9412495064188497
2015-05-21,Stable,0.9290250535987853
2015-05-22,Stable,0.8937308553082314
2015-05-25,Stable,0.8441421357159976
2015-05-26,Stable,0.7591342570343618
2015-05-27,Stable,0.6046098317341414
2015-05-28,Transitional,0.6800762824439867
2015-05-29,Transitional,0.8448700133674398
2015-06-01,Transitional,0.981958646957626
2015-06-02,Transitional,0.9110986424637856
2015-06-03,Transitional,0.8088770978191747
2015-06-04,Transitional,0.6866217844967504
2015-06-05,Transitional,0.5909846396430463
2015-06-08,Transitional,0.5524120834881951
2015-06-09,Transitional,0.5170403581273947
2015-06-10,Stable,0.6080636156100865
2015-06-11,Stable,0.6756859864040754
2015-06-12,Stable,0.7932631170343404
2015-06-15,Stable,0.8442332627374473
2015-06-16,Stable,0.8783768616511004
2015-06-17,Stable,0.883803360603639
2015-06-18,Stable,0.9162533963336003
2015-06-19,Stable,0.950409655509594
2015-06-22,Stable,0.9667214595912695
2015-06-23,Stable,0.9737459315254389
2015-06-24,Stable,0.9730545016910344
2015-06-25,Stable,0.9676882830199265
2015-06-26,Stable,0.9513228040995023
2015-06-29,Stable,0.9168335821752224
2015-06-30,Stable,0.8906783542977068
2015-07-01,Stable,0.9298933059880757
2015-07-02,Stable,0.9461843918827441
2015-07-03,Stable,0.9528445902016134
2015-07-06,Stable,0.9486917299797715
2015-07-07,Stable,0.9585158906814459
2015-07-08,Stable,0.9563439071985381
2015-07-09,Stable,0.9528723022161528
2015-07-10,Stable,0.934989524961999
2015-07-13,Stable,0.9118677431543348
2015-07-14,Stable,0.8880364124249455
2015-07-15,Stable,0.8373543570540243
2015-07-16,Stable,0.7576950178605185
2015-07-17,Stable,0.6499509135751168
2015-07-20,Stable,0.5569326536598632
2015-07-21,Transitional,0.982230050613558
2015-07-22,Stable,0.7580772048028741
2015-07-23,Stable,0.6126502368305135
2015-07-24,Stable,0.5100441868584151
2015-07-27,Stable,0.5339764060452024
