date,regime_label,regime_probability
2014-10-07,Volatile,1.0
2014-10-08,Volatile,0.7864773316752408
2014-10-09,Transitional,0.7370291557944375
2014-10-10,Transitional,0.869120661801744
2014-10-13,Transitional,0.875873220387288
2014-10-14,Transitional,0.845780097139193
2014-10-15,Transitional,0.8206205542206281
2014-10-16,Transitional,0.8067346645660618
2014-10-17,Transitional,0.801023283600079
2014-10-20,Transitional,0.8049321041655374
2014-10-21,Transitional,0.8191656984067732
2014-10-22,Transitional,0.841888771811957
2014-10-27,Transitional,0.8636784164053715
2014-10-28,Transitional,0.8347420577567515
2014-10-29,Transitional,0.9117334914279643
2014-10-30,Transitional,0.9223398593766454
2014-10-31,Transitional,0.9151417573169224
2014-11-03,Transitional,0.9115953032654501
2014-11-05,Transitional,0.8970556448340227
2014-11-07,Transitional,0.8784472290905462
2014-11-10,Transitional,0.8490395916693346
2014-11-11,Transitional,0.7978955554404389
2014-11-12,Transitional,0.7600836486702464
2014-11-13,Transitional,0.7245519061444408
2014-11-14,Transitional,0.697301076533366
2014-11-17,Transitional,0.633019263637059
2014-11-18,Transitional,0.5858637379059045
2014-11-19,Transitional,0.5034883622659504
2014-11-20,Stable,0.6448216613825426
2014-11-21,Stable,0.7399279252057963
2014-11-24,Stable,0.8293153492011534
2014-11-25,Stable,0.8902694408518598
2014-11-26,Stable,0.9276040653509235
2014-11-27,Stable,0.9494561905050081
2014-11-28,Stable,0.9619987317102896
2014-12-01,Stable,0.9690612337723082
2014-12-02,Stable,0.9728992277529105
2014-12-03,Stable,0.9739548962242656
2014-12-04,Stable,0.972035097854073
2014-12-05,Stable,0.9671616854846222
2014-12-08,Stable,0.9711840504645437
2014-12-09,Stable,0.9727786862939765
2014-12-10,Stable,0.975049071216895
2014-12-11,Stable,0.9758618701551276
2014-12-12,Stable,0.9738049893091173
2014-12-15,Stable,0.9704560507798541
2014-12-16,Stable,0.9629840980353934
2014-12-17,Stable,0.9602666072128608
2014-12-18,Stable,0.9695352082862232
2014-12-19,Stable,0.9741736252783456
2014-12-22,Stable,0.9763582659868427
2014-12-23,Stable,0.9767682189927445
2014-12-24,Stable,0.9744912442048937
2014-12-26,Stable,0.9729586809383618
2014-12-29,Stable,0.9698331693843023
2014-12-30,Stable,0.9659479514704593
2014-12-31,Stable,0.9575408550349689
2015-01-01,Stable,0.9442073835910704
2015-01-02,Stable,0.923514845369672
2015-01-05,Stable,0.889255505275066
2015-01-06,Stable,0.8304321548194232
2015-01-07,Stable,0.8116250814567275
2015-01-08,Stable,0.7762621769532784
2015-01-09,Stable,0.7304132769038659
2015-01-12,Stable,0.6809939051753618
2015-01-13,Stable,0.6016692799046502
2015-01-14,Stable,0.5175294418645583
2015-01-15,Stable,0.6226677799180217
2015-01-16,Transitional,0.769886947527744
2015-01-19,Transitional,0.8158126731666303
2015-01-20,Transitional,0.8479604632083965
2015-01-21,Transitional,0.8705325480833533
