date,regime_label,regime_probability
2014-10-07,Stable,1.0
2014-10-08,Stable,0.9894688395560731
2014-10-09,Stable,0.9834293911735237
2014-10-10,Stable,0.9786400501330487
2014-10-13,Stable,0.9727764977674916
2014-10-14,Stable,0.9599681424286592
2014-10-16,Stable,0.9362987115610192
2014-10-17,Stable,0.9496115966027456
2014-10-20,Stable,0.95442330810628
2014-10-21,Stable,0.9669646160551699
2014-10-22,Stable,0.9721510166898635
2014-10-27,Stable,0.971925497790871
2014-10-28,Stable,0.969054245111089
2014-10-29,Stable,0.9595982767781848
2014-10-30,Stable,0.9448919415347439
2014-10-31,Stable,0.9347851290408273
2014-11-03,Stable,0.9496559418093601
2014-11-05,Stable,0.9569081306267305
2014-11-07,Stable,0.9658571474709408
2014-11-10,Stable,0.9684685073659043
2014-11-11,Stable,0.9707190725375597
2014-11-12,Stable,0.9675229820284326
2014-11-13,Stable,0.9665539348742194
2014-11-14,Stable,0.9709410013391361
2014-11-17,Stable,0.9708487830830344
2014-11-18,Stable,0.9696911839592088
2014-11-19,Stable,0.9625008728832537
2014-11-20,Stable,0.9639298408318401
2014-11-21,Stable,0.9585449129873048
2014-11-24,Stable,0.9461490562019421
2014-11-25,Stable,0.9291894037446018
2014-11-26,Stable,0.8951924886633008
2014-11-27,Stable,0.8302836321704555
2014-11-28,Stable,0.7076182221224582
2014-12-01,Transitional,0.5200735237423494
2014-12-02,Transitional,0.5089953157189276
2014-12-03,Transitional,0.5144302115278101
2014-12-04,Transitional,0.5371153187389943
2014-12-05,Transitional,0.5817981445509606
2014-12-08,Transitional,0.6582980445500862
2014-12-09,Transitional,0.7618250407408084
2014-12-10,Transitional,0.8060863302123049
2014-12-11,Transitional,0.8984071796635511
2014-12-12,Transitional,0.9048141985845134
2014-12-15,Transitional,0.8574539559759249
2014-12-16,Transitional,0.8366506859175915
2014-12-17,Transitional,0.7640614713019616
2014-12-18,Transitional,0.7321460339060112
2014-12-19,Transitional,0.6931658215077026
2014-12-22,Transitional,0.6339091548203225
