nmf_topic_id,keywords
0,"inflation, current, monetary_policy, level, the_economy, price, growth, business, recent, reserve, source, stability, low, term, federal, rate, monetary, risk, economy, central"
1,"inspiration, name, heart, crore, spirit, child, culture, lakh, pride, the_people, indian, youth, campaign, our_country, my_dear_countrymen, mann_ki_baat, namaskar, india, countryman, friends"
