sector,regime,last_period,last_ret_5d,avg_ret_5d,bull_pct,bear_pct,neutral_pct
Auto,Bull,2026Q2,3.93,0.361,56.1,24.4,19.5
Banking,Bull,2026Q2,4.176,0.5,53.7,22.0,24.4
Broad Market,Bull,2026Q2,3.095,0.364,43.9,14.6,41.5
Energy,Bull,2026Q2,2.768,0.361,46.3,19.5,34.1
IT,Bull,2026Q2,1.087,0.391,46.3,17.1,36.6
Pharma,Neutral,2026Q2,0.134,0.022,39.0,29.3,31.7
