sector,return_5d,return_10d
Auto,0.0017212482782699712,0.005940247303710105
Banking,0.004249221207281557,0.009261061872320654
Broad Market,0.0030814396347639415,0.006423129070372946
Energy,0.002522486355799755,0.007866606424224556
IT,0.0031758347815328937,0.006275788297583785
Pharma,-0.0004882193136158035,0.00304428743528823
