sector,week,return_5d,return_10d,speech_count,return_time
Auto,2016-05-16/2016-05-22,0.0410677250964889,0.07332318052628002,2,1-2 Weeks
Auto,2016-05-23/2016-05-29,0.032458235045880954,0.034573902350944104,1,~1 Week
Auto,2016-05-30/2016-06-05,-0.01610197065058465,-0.0164949063519888,1,~1 Week
Auto,2016-06-06/2016-06-12,-0.01025782974264305,0.0009631745883762499,1,~1 Week
Auto,2016-06-20/2016-06-26,-0.013658929606615026,0.0008332863612535749,2,~1 Week
Auto,2016-06-27/2016-07-03,0.0251517264747762,0.05592149526759045,1,1-2 Weeks
Auto,2016-07-11/2016-07-17,0.0207662979238405,0.0188639558070564,1,~1 Week
Auto,2016-08-15/2016-08-21,-0.003072874610123,0.051724813777353704,1,~2 Weeks
Auto,2016-08-22/2016-08-28,0.054959150396453646,0.07013627083327426,1,~1 Week
Auto,2016-09-12/2016-09-18,0.020508362120288597,0.0160652203274571,1,~1 Week
Auto,2016-09-26/2016-10-02,0.03487696418780975,0.024395662950078577,4,~1 Week
Auto,2016-10-03/2016-10-09,-0.011513870096661466,-0.00578550238044345,3,~1 Week
Auto,2016-10-10/2016-10-16,-0.00949603790940515,0.008161611867962751,1,~1 Week
Auto,2016-10-17/2016-10-23,0.018503294105224024,0.012620864680714924,2,~1 Week
Auto,2016-10-24/2016-10-30,0.01031245316553175,-0.00925364175537485,1,~1 Week
Auto,2016-10-31/2016-11-06,-0.07850085834488135,-0.14064131694384172,2,1-2 Weeks
Auto,2016-11-07/2016-11-13,-0.09043522471604869,-0.09235039088845734,4,~1 Week
Auto,2016-11-14/2016-11-20,-0.026814244440020837,0.005779343921336041,11,~1 Week
Auto,2016-11-21/2016-11-27,0.02960232310954904,0.06653912606764219,4,1-2 Weeks
Auto,2016-11-28/2016-12-04,0.018756916010468822,0.01884430243376145,7,~1 Week
Auto,2016-12-05/2016-12-11,0.012816841239423801,-0.00214632762523135,1,~1 Week
Auto,2016-12-12/2016-12-18,-0.008262105272389951,0.0119721639140768,1,~1 Week
Auto,2016-12-19/2016-12-25,-0.008258560078577299,0.0468825335809055,1,~2 Weeks
Auto,2017-01-02/2017-01-08,0.012421351096904499,0.0097169980733603,1,~1 Week
Auto,2017-01-09/2017-01-15,-0.0034501541354599,0.029449749920503553,1,~2 Weeks
Auto,2017-01-16/2017-01-22,0.025264929166901266,0.06127585800119961,3,1-2 Weeks
