date,sentiment
2016-05-19,0.09010246400000001
2016-05-20,0.036904633000000006
2016-05-26,0.10401036
2016-06-03,0.80991293
2016-06-06,0.60082212
2016-06-21,0.1884474015
2016-06-22,0.144020076
2016-06-28,0.3511394
2016-07-12,0.009597904000000004
2016-08-21,0.37721855
2016-08-26,0.39991900500000005
2016-09-12,0.11653289700000001
2016-09-26,0.1642057745
2016-09-27,0.071098694
2016-09-29,0.3629673815
2016-10-05,0.316382776
2016-10-07,0.090884806
2016-10-09,0.890940433
2016-10-14,-0.515250575
2016-10-17,0.022219281999999993
2016-10-21,-0.008187575000000002
2016-10-24,0.078833892
2016-11-04,0.451033587
2016-11-07,-0.225014157
2016-11-09,0.8764960740000001
2016-11-10,0.012389919
2016-11-11,0.059107773999999995
2016-11-14,-0.12623544666666667
2016-11-15,-0.043545435
2016-11-17,-0.26176922366666666
2016-11-18,0.5788887066666667
2016-11-21,-0.43371389816666667
2016-11-24,0.7516115609999999
2016-11-28,0.582619472
2016-11-29,0.06632070500000001
2016-11-30,-0.06372564800000002
2016-12-02,0.239031063
2016-12-06,0.047466544
2016-12-16,0.509230239
2016-12-19,0.043870780000000005
2017-01-07,-0.54946107
2017-01-12,0.089754017
2017-01-17,-0.358369344
2017-01-18,-0.0021758870000000013
2017-01-19,0.09116538499999999
2017-02-11,0.002493165999999998
2017-02-22,0.045250186000000005
2017-03-01,0.8994655349999999
2017-03-03,0.056917092999999995
2017-03-23,0.141198264
2017-03-28,0.295960392
2017-04-04,0.010991537
2017-04-05,0.7314372255
2017-04-17,-0.023994420000000002
2017-04-19,0.21100209
2017-04-20,-0.057110456000000004
2017-04-28,0.200514396
2017-05-05,0.31345409350000003
2017-05-22,0.614930236
2017-05-30,0.36754799
2017-06-01,0.122609879
2017-06-20,-0.116925644
2017-06-23,0.200274147
2017-06-26,0.480061798
2017-06-27,0.63313125
2017-07-06,0.06533913699999999
2017-07-11,-0.716341207
2017-07-13,-0.12061199
2017-07-17,0.10899554
2017-07-28,0.106307975
2017-07-31,0.206758182
2017-08-25,-0.8001450400000001
2017-08-30,0.009329843999999997
2017-09-05,0.42042040999999997
2017-09-26,0.112068823
2017-09-27,0.179742817
2017-09-28,0.07569273400000001
2017-10-04,0.181884085
2017-10-05,0.131540535
2017-10-12,0.48303814925
2017-10-15,0.45553595399999997
2017-10-18,0.1389658435
2017-10-20,0.20995377199999998
2017-11-02,-0.11765779999999999
2017-11-07,0.5324645539999999
2017-11-09,0.40870714750000003
2017-11-10,0.6955657504999999
2017-11-13,0.835346126
2017-11-14,0.0702542635
2017-11-15,-0.31253576400000005
2017-11-16,0.2722948316666667
2017-11-17,0.861970153
2017-11-20,0.05257700950000001
2017-11-23,0.003077522000000001
2017-11-24,-0.06240223825000002
2017-11-30,-0.1279174183333333
2017-12-06,0.391670285
2017-12-13,0.126990955
2017-12-16,0.653589407
2018-01-19,0.19399618899999999
2018-02-13,0.634788845
2018-02-22,0.14155156
2018-02-26,0.19851874399999997
2018-03-05,0.187616274
2018-03-06,-0.07311311000000004
2018-03-26,0.6438412
2018-04-03,0.235325379
2018-04-06,0.350227925
2018-04-17,0.166649762
2018-04-19,0.8794514219999999
2018-05-04,0.11217227099999999
2018-05-08,0.15402290899999999
2018-05-15,0.071946455
2018-05-16,0.236968778
2018-05-18,0.19392021550000002
2018-05-25,0.24309542550000002
2018-05-31,0.709510845
2018-06-20,0.886477963
2018-06-27,0.313253929
2018-07-18,0.148023701
2018-07-19,0.069117488
2018-08-24,0.08246853999999999
2018-09-12,0.12220500699999999
2018-09-27,0.219163171
2018-10-02,0.130152912
2018-10-03,0.224056329
2018-10-04,0.48100822000000004
2018-10-15,0.571825252
2018-10-17,0.221126723
2018-10-18,0.24897632299999997
2018-10-25,0.132357312
2018-11-09,0.573642609
2018-11-13,0.2849493585
2018-11-15,0.27876288650000003
2018-11-16,-0.39485167050000003
2018-11-22,-0.59355367
2018-11-23,0.276831802
2018-11-26,0.20966371933333336
2018-11-27,-0.06075283800000002
2018-11-28,0.4762357678333333
2018-11-30,0.7108322220000001
2018-12-03,0.4293981075
2018-12-05,0.051689104
2018-12-06,0.746705659
2018-12-07,0.2602029825
2018-12-14,0.137991299
2018-12-15,0.244067823
2018-12-18,0.429623788
2019-01-09,0.21853166699999999
2019-01-10,0.119365175
2019-02-01,0.69299944
2019-02-06,0.299585504
2019-02-10,0.087765339
2019-02-11,0.142234832
2019-02-12,0.298625295
2019-02-22,-0.23896054000000003
2019-02-23,0.162109844
2019-02-28,0.25966846800000004
2019-03-07,0.73638428
2019-03-08,0.156429556
2019-03-11,-0.05773703999999999
2019-03-12,0.7700357330000001
2019-03-25,0.535211036
2019-03-28,0.1581934366666667
2019-03-29,-0.11001750333333332
2019-04-01,0.189801201
2019-04-02,0.11369907250000001
2019-04-06,-0.12632932
2019-04-09,0.132788169
2019-04-10,0.7080897405
2019-04-11,0.3894524895
2019-04-12,0.34418307
2019-04-17,0.18278666999999998
2019-05-01,-0.07860802999999994
2019-05-03,0.158833615
2019-05-06,0.786438244
2019-05-08,0.446376461
2019-05-09,0.14901130199999998
2019-05-10,0.0386402638
2019-05-13,0.12781849299999998
2019-05-15,0.34127605299999997
2019-05-16,0.11025520050000001
2019-05-17,0.1245758225
2019-05-20,0.1757086725
2019-05-21,0.068589573
2019-05-23,0.34895342100000004
2019-05-27,0.739033352
2019-05-29,0.7046732480000001
2019-05-30,0.18098621999999998
2019-06-03,-0.727269928
2019-06-04,-0.0022381349999999953
2019-06-05,0.062042586999999996
2019-06-10,-0.83098287
2019-06-12,0.2619305505
2019-06-14,-0.013327657000000007
2019-06-18,-0.011496569999999998
2019-06-21,0.09123953850000001
2019-06-25,0.41620235683333334
2019-06-28,0.11734117300000001
2019-06-29,0.926049537
2019-06-30,0.02148022925
2019-07-01,0.1334200706666667
2019-07-04,0.4336329635
2019-07-09,0.068431583
2019-07-11,0.3909321923333333
2019-07-16,0.125000103
2019-07-28,-0.030881105
2019-08-05,0.07675100400000001
2019-08-20,0.7717466155
2019-08-23,0.315849815
2019-08-25,-0.0013822569999999978
2019-08-27,0.026645798999999998
2019-09-02,0.04340153299999999
2019-09-04,0.07557342450000001
2019-09-05,0.112600427
2019-09-07,-0.934163078
2019-09-16,-0.6420652309999999
2019-09-17,0.6947282419999999
2019-09-23,0.44231804199999997
2019-09-24,0.465140258
2019-09-25,0.356359012
2019-09-26,0.09579541359999999
2019-09-27,0.595423858
2019-09-29,-0.021973363750000006
2019-10-01,0.3543681005833334
2019-10-02,-0.025416895999999998
2019-10-03,0.162053186
2019-10-04,0.1261363
2019-10-07,0.180912054
2019-10-08,0.090808022
2019-10-09,0.228424739
2019-10-11,0.16987659875
2019-10-16,0.099526892
2019-10-17,0.07033516133333333
2019-10-18,0.2663741536666666
2019-10-21,0.446202926
2019-10-27,0.10267295725
2019-10-28,0.26853927
2019-10-30,-0.02066859
2019-11-01,0.189929687
2019-11-04,0.165487113
2019-11-06,0.625894893
2019-11-08,0.256111104
2019-11-11,0.05731418099999999
2019-11-12,0.39145927124999996
2019-11-14,0.062779026
2019-11-15,0.06078939
2019-11-18,0.11363610800000001
2019-11-21,0.36003921749999995
2019-11-22,0.282562101
2019-11-24,0.09199727625
2019-11-25,0.11018302933333333
2019-11-26,0.479132051
2019-11-27,0.09741898000000002
2019-11-28,0.0966570625
2019-11-29,0.14995067
2019-12-02,0.7888754735000001
2019-12-03,0.423090786
2019-12-13,0.11899056499999999
2019-12-16,0.123977435
2019-12-18,0.31674915800000003
2019-12-29,0.13506746775
2020-01-08,0.453754322
2020-01-09,0.8579624499999999
2020-01-16,0.02005468466666667
2020-01-17,0.11071372099999999
2020-01-26,0.0264309485
2020-02-05,0.201263132
2020-02-06,0.07568881899999999
2020-02-10,0.476697147
2020-02-11,0.2367655225
2020-02-21,0.0345350435
2020-02-23,0.50532409975
2020-02-25,0.900122632
2020-02-27,0.154323055
2020-03-29,0.0386356055
2020-04-09,-0.12637663999999998
2020-04-26,-0.011428800000000001
2020-05-05,0.260756116
2020-05-13,0.16044760000000002
2020-05-21,0.15884956800000002
2020-05-31,0.027275819000000007
2020-06-16,0.38897142500000004
2020-06-19,0.449940546
2020-06-28,0.04860338425
2020-07-07,0.16531858900000002
2020-07-14,0.61883734
2020-07-26,-0.27561246425
2020-08-06,0.180000044
2020-08-13,0.15130032000000002
2020-08-19,0.630165871
2020-08-26,-0.20937174
2020-08-27,0.234183773
2020-08-30,0.030324536
2020-08-31,0.407387281
2020-09-01,0.241844893
2020-09-21,0.604561993
2020-09-23,0.338968775
2020-09-27,0.067754143
2020-09-28,0.0012643459999999995
2020-09-30,-0.38061939999999994
2020-10-01,0.69603689
2020-10-06,0.137043857
2020-10-14,0.0974235165
2020-10-15,0.088676361
2020-10-19,0.073204981
2020-10-20,0.35113779775000004
2020-10-21,0.9131595680000001
2020-10-25,0.084488282
2020-11-04,-0.12259013999999999
2020-11-10,0.178360689
2020-11-11,0.12919688499999998
2020-11-12,0.186975404
